Country,Wealth Gini (2008),Wealth Gini (2018),Wealth Gini (2019),Population (in thousands),Percentage of population,Nominal GDP (in millions),Percentage of world GDP,GDP per capita
Turkmenistan,,,0.63,,,,,
Uganda,0.723,0.714,0.729,42729.03,0.56%,27461,0.03%,643
Ukraine,0.667,0.9550000000000001,0.847,44246.16,0.58%,130832,0.15%,2957
United Arab Emirates,,,0.796,,,,,
United Kingdom,0.6970000000000001,0.747,0.746,67141.68,0.88%,2855297,3.32%,42526
United States,0.801,0.852,0.852,327096.26,4.29%,20544343,23.91%,62808
Uruguay,0.708,0.741,0.721,3449.29,0.05%,59597,0.07%,17278
Vanuatu,,,0.6880000000000001,,,,,
Venezuela,,,0.743,,,,,
Vietnam,0.682,0.708,0.761,95545.96,1.25%,245214,0.29%,2566
Yemen,0.613,0.801,0.798,28498.68,0.37%,26914,0.03%,944
Zambia,0.766,0.787,0.798,17351.71,0.23%,26720,0.03%,1540
Zimbabwe,0.845,0.707,0.719,14438.81,0.19%,31001,0.04%,2147
